,player,team,pos,mins,mins/st,price,G,xG,xG90,xGOT,xGOT90,Finish_qual,A,xA,xA90,xA_FPL,xA_FPL90,GI,GI90,xGI,xGI_fit,Pts,xPts,xPts_fit,xCS,xPts_full,basBPS90,BigChCr,BigChCr90,BigChMiss,SoT,SoT90,Shots,KeyP,KP90,defcon,defcon90,PensWon,rating,fpl_id,etype
70,Alex Scott,Bournemouth,MID,356,89.0,6.1,1,0.51,0.13,0.84,0.21,0.33,0,0.35,0.09,0.46,0.12,3.0,0.76,0.87,0.98,28.0,20.7,21.0,1.36,21.4,19.2,0,0.0,1,1,0.25,5,8,2.02,52,13.15,0,7.23,69.0,3.0
71,Omar Marmoush,Spurs,FWD,251,83.0,7.0,0,0.35,0.13,0.21,0.08,-0.14,0,0.1,0.04,0.21,0.08,0.0,0.0,0.47,0.57,6.0,7.8,8.1,1.21,8.1,10.4,0,0.0,0,1,0.36,6,4,1.43,9,3.25,0,6.73,401.0,4.0
72,Vitaly Janelt,Brentford,MID,360,90.0,5.0,2,0.5,0.12,1.16,0.29,0.66,0,0.4,0.1,0.34,0.08,2.0,0.5,0.9,0.84,25.0,18.7,18.5,1.15,18.6,15.0,0,0.0,0,2,0.5,3,5,1.25,55,13.75,0,7.43,98.0,3.0
73,Marcus Rashford,Man Utd,MID,278,77.0,7.0,0,0.37,0.12,0.36,0.12,-0.01,0,0.3,0.1,0.49,0.16,0.0,0.0,0.68,0.87,8.0,10.8,11.4,0.82,11.2,13.9,0,0.0,1,2,0.65,7,9,2.91,16,5.24,0,6.75,429.0,3.0
74,Mamadou Sangare,Brentford,MID,301,75.0,5.7,0,0.41,0.12,0.18,0.05,-0.23,1,0.65,0.19,0.67,0.2,2.0,0.6,1.06,1.08,22.0,20.0,20.1,0.97,20.1,17.3,1,0.3,0,1,0.3,6,4,1.2,45,13.5,0,7.0,565.0,3.0
75,Nicolas Jackson,Aston Villa,FWD,201,66.0,6.5,0,0.24,0.11,0.0,0.0,-0.24,0,0.58,0.26,0.52,0.23,0.0,0.0,0.82,0.76,4.0,6.7,6.5,0.92,6.5,9.4,1,0.45,0,0,0.0,2,1,0.45,5,2.26,0,6.7,166.0,4.0
76,Brennan Johnson,Everton,MID,183,70.0,5.9,0,0.22,0.11,0.0,0.0,-0.22,0,0.22,0.11,0.24,0.12,0.0,0.0,0.43,0.45,6.0,7.7,7.8,1.0,7.8,9.8,0,0.0,0,0,0.0,2,4,1.97,18,9.36,0,6.48,209.0,3.0
77,Loum Tchaouna,Coventry City,MID,168,70.0,5.4,0,0.2,0.11,0.37,0.2,0.17,0,0.19,0.1,0.19,0.1,0.0,0.0,0.37,0.38,4.0,5.5,5.5,0.15,5.6,14.5,0,0.0,0,1,0.54,5,3,1.61,15,8.13,0,6.7,190.0,3.0
78,Ross Barkley,Aston Villa,MID,305,76.0,5.0,0,0.38,0.11,0.17,0.05,-0.21,0,0.14,0.04,0.31,0.09,0.0,0.0,0.52,0.69,9.0,11.3,11.8,1.04,11.8,18.6,0,0.0,0,1,0.3,7,6,1.77,24,7.15,0,6.78,46.0,3.0
79,Noah Sadiki,Sunderland,MID,344,86.0,4.9,0,0.4,0.1,0.24,0.06,-0.16,0,0.24,0.06,0.5,0.13,0.0,0.0,0.63,0.9,8.0,10.7,11.5,1.0,11.5,17.3,1,0.26,2,3,0.78,6,3,0.78,26,6.82,0,6.85,545.0,3.0
