fpl_id,gw,mins,G,A,xG,xA,Pts,CS,dc,bps,starts,saves
239,3,76,0,0,0.0,0.08,2,0,8,19,1,0
242,3,90,1,0,0.04,0.07,10,0,4,35,1,0
244,3,90,0,0,0.09,0.03,1,0,5,5,1,0
246,3,74,0,0,0.0,0.13,1,0,6,10,1,0
247,3,15,0,1,0.04,0.09,4,0,1,14,0,0
249,3,90,0,0,0.38,0.02,2,0,4,7,1,0
250,3,90,0,0,0.0,0.0,1,0,0,8,1,2
253,3,90,0,0,0.0,0.06,1,0,7,8,1,0
254,3,78,0,0,0.08,0.1,1,0,5,7,1,0
257,3,90,0,0,0.0,0.04,1,0,2,2,1,0
258,3,90,0,0,0.58,0.19,1,0,7,-1,1,0
259,3,90,0,0,0.0,0.01,3,0,11,10,1,0
260,3,17,0,0,0.0,0.0,0,0,1,0,0,0
261,3,82,0,0,0.04,0.26,2,0,4,15,1,0
262,3,11,0,0,0.0,0.0,1,0,0,3,0,0
264,3,78,0,0,0.32,0.65,2,0,4,17,1,0
265,3,29,0,0,0.0,0.1,1,0,2,9,0,0
267,3,90,0,0,0.0,0.02,2,0,4,13,1,0
268,3,90,1,0,0.31,0.27,10,0,7,38,1,0
269,3,11,0,0,0.08,0.32,1,0,1,3,0,0
271,3,7,0,0,0.38,0.0,1,0,0,5,0,0
277,3,90,0,0,0.0,0.0,6,1,7,18,1,0
279,3,90,0,0,0.0,0.0,5,1,6,17,1,0
280,3,63,0,0,0.0,0.01,6,1,0,19,1,0
282,3,90,0,0,0.0,0.04,8,1,4,30,1,0
286,3,81,0,0,0.03,0.01,5,1,12,15,1,0
290,3,90,0,0,0.04,0.01,3,1,6,10,1,0
295,3,90,0,0,0.38,0.05,2,1,3,2,1,0
304,3,90,0,0,0.0,0.01,3,0,11,5,1,0
305,3,90,0,0,0.11,0.12,1,0,6,4,1,0
306,3,90,0,0,0.0,0.04,1,0,7,6,1,0
313,3,24,0,0,0.05,0.02,1,0,2,3,0,0
315,3,78,0,0,0.03,0.15,2,0,6,14,1,0
316,3,65,0,0,0.22,0.0,2,0,3,8,1,0
323,3,11,0,0,0.05,0.0,1,0,1,5,0,0
327,3,29,0,0,0.0,0.0,1,0,4,1,0,0
328,3,1,0,0,0.0,0.0,1,0,0,3,0,0
330,3,60,1,0,0.9,0.02,14,1,2,30,1,0
331,3,90,0,0,0.0,0.0,2,0,5,9,1,0
332,3,90,0,0,0.14,0.0,4,0,10,9,1,0
334,3,90,0,0,0.0,0.01,4,0,13,10,1,0
335,3,90,0,0,0.32,0.1,2,0,6,7,1,0
336,3,61,0,0,0.0,0.01,3,1,0,9,1,0
337,3,28,0,0,0.0,0.0,1,0,0,5,0,0
338,3,90,0,0,0.0,0.01,2,0,11,13,1,0
345,3,72,0,1,0.53,0.01,5,0,8,18,1,0
346,3,72,0,0,0.56,0.06,1,0,3,0,1,0
347,3,17,0,0,0.17,0.14,1,0,0,2,0,0
350,3,90,0,0,0.0,0.0,8,1,0,35,1,5
356,3,90,0,0,0.0,0.02,6,1,7,32,1,0
358,3,90,0,0,0.0,0.03,5,1,5,23,1,0
362,3,90,0,0,0.0,0.03,5,1,9,28,1,0
366,3,90,0,0,0.18,0.05,3,1,4,14,1,0
367,3,90,0,2,0.06,0.4,11,1,10,43,1,0
368,3,90,0,0,0.16,0.08,3,1,9,20,1,0
371,3,26,0,0,0.0,0.0,1,0,2,2,0,0
372,3,83,0,0,0.08,0.02,2,1,11,14,1,0
375,3,6,0,0,0.0,0.0,1,0,0,3,0,0
377,3,63,0,0,0.0,0.02,3,1,4,9,1,0
379,3,63,2,0,0.21,0.05,13,1,3,61,1,0
381,3,1,0,0,0.0,0.0,1,0,0,3,0,0
