,player,team,pos,mins,mins/st,price,CS,Tkl,Int,Clr,defcon,defcon90,GI,GI90,xGI,xGI_fit,Pts,xPts,xPts_fit,xCS,xPts_full,basBPS90,G,xG,xG90,A,xA,xA90,xA_FPL,xA_FPL90,Saves,GK_prevented,rating,fpl_id,etype
15,Chris Richards,Crystal Palace,DEF,360,90.0,5.0,0,6,7,25,44,11.0,0.0,0.0,0.14,0.1,6.0,6.7,6.5,0.67,9.2,4.8,0,0.08,0.02,0,0.06,0.02,0.02,0.0,0,0.0,6.55,202.0,2.0
16,Honest Ahanor,Crystal Palace,DEF,90,90.0,4.5,0,2,1,8,11,11.0,0.0,0.0,0.01,0.05,3.0,3.0,3.2,0.19,4.0,10.0,0,0.0,0.0,0,0.01,0.01,0.05,0.05,0,0.0,6.7,633.0,2.0
17,Murillo,Nott'm Forest,DEF,358,90.0,5.5,0,8,4,28,42,10.53,1.0,0.25,0.64,0.57,19.0,19.0,18.8,1.59,21.2,12.8,0,0.35,0.09,1,0.29,0.07,0.22,0.06,0,0.0,6.78,472.0,2.0
18,Nikola Milenković,Nott'm Forest,DEF,270,90.0,5.5,1,5,3,20,31,10.33,0.0,0.0,0.14,0.12,12.0,12.8,12.7,1.15,13.3,11.3,0,0.11,0.04,0,0.03,0.01,0.01,0.0,0,0.0,6.73,471.0,2.0
19,Kristoffer Ajer,Brentford,DEF,360,90.0,4.5,1,4,4,31,41,10.25,0.0,0.0,0.16,0.23,14.0,14.9,15.1,1.15,15.7,11.0,0,0.12,0.03,0,0.03,0.01,0.1,0.02,0,0.0,6.75,87.0,2.0
20,António Silva,Bournemouth,DEF,360,90.0,5.0,0,3,6,29,41,10.25,0.0,0.0,1.12,0.98,10.0,15.9,15.5,1.36,20.9,5.5,0,0.84,0.21,0,0.27,0.07,0.13,0.03,0,0.0,6.88,566.0,2.0
21,Bobby Thomas,Coventry City,DEF,348,87.0,4.0,0,2,5,28,39,10.12,0.0,0.0,0.69,0.94,15.0,18.4,19.1,0.82,18.4,10.6,0,0.43,0.11,0,0.25,0.06,0.51,0.13,0,0.0,7.05,173.0,2.0
22,Lewis Hall,Newcastle,DEF,269,90.0,5.2,1,8,5,12,30,10.04,1.0,0.33,0.71,0.72,18.0,17.2,17.3,0.63,15.8,23.8,0,0.05,0.02,1,0.67,0.22,0.68,0.23,0,0.0,7.77,449.0,2.0
23,Jarrad Branthwaite,Everton,DEF,360,90.0,5.5,2,5,5,21,40,10.0,0.0,0.0,0.19,0.18,19.0,20.1,20.0,1.26,17.0,17.5,0,0.16,0.04,0,0.02,0.0,0.01,0.0,0,0.0,7.08,230.0,2.0
24,James Justin,Leeds,DEF,270,90.0,4.5,1,11,4,13,30,10.0,0.0,0.0,0.19,0.22,16.0,17.1,17.2,0.82,16.5,16.3,0,0.17,0.06,0,0.02,0.01,0.05,0.02,0,0.0,6.97,332.0,2.0
25,Jorge Cuenca,Fulham,DEF,90,90.0,4.5,0,1,1,5,10,10.0,0.0,0.0,0.03,0.39,3.0,3.1,4.2,0.11,4.6,7.0,0,0.0,0.0,0,0.03,0.03,0.39,0.39,0,0.0,7.1,255.0,2.0
26,Nico Elvedi,Leeds,DEF,146,90.0,4.5,0,1,2,10,16,9.86,0.0,0.0,0.57,0.86,5.0,6.7,7.6,0.11,8.0,12.9,0,0.0,0.0,0,0.57,0.35,0.86,0.53,0,0.0,6.75,598.0,2.0
27,Dara O'Shea,Ipswich Town,DEF,360,90.0,4.0,0,7,4,26,39,9.75,0.0,0.0,0.33,0.37,8.0,9.2,9.3,1.56,15.5,3.0,0,0.07,0.02,0,0.25,0.06,0.3,0.08,0,0.0,6.25,304.0,2.0
28,James Tarkowski,Everton,DEF,360,90.0,6.0,2,10,10,16,39,9.75,1.0,0.25,0.2,0.22,29.0,24.1,24.2,1.26,21.2,20.8,1,0.16,0.04,0,0.02,0.0,0.05,0.01,0,0.0,7.48,229.0,2.0
